연 번,관리기관,설치연도,설치구간,연장(m)
100,성동구,2023,"금옥초교 앞
(독서당로 257 ~ 매봉길 2)",165
101,성동구,2023,"옥수초교 앞
(금호로1길 27 ~ 38)",160
102,성동구,2023,"독서당로59나길 39 ~ 독서당로59길 45, 독서당로63길 39 ~ 독서당로59길 29-2",500
103,성동구,2023,응봉파출소 ~ 청우빌라(독서당로 373 ~ 독서당로59길 25-4),350
104,성동구,2023,"한양부속중학교 후문 ~ 사근동 주민센터
(마조로42 ~ 사근동길 43)",230
105,성동구,2023,"행현초교 앞
(행당로 95 ~ 왕십리로21길 57)",270
106,성동구,2023,두산 아파트~ 한진타운아파트 사이 도로(행당동6길 97 ~ 행당로6길 74),240
107,성동구,2023,신성교회 앞 고갯길(행당로8길 36 ~ 행당로8길 41-2),80
108,성동구,2023,"상왕십리역 ~ 무학한신 @
(왕십리로31나길 23 ~ 왕십리로31가길 22)",130
109,성동구,2023,"왕십리 풍림아이원 앞 경사지
(난계로 84 ~ 무학봉길 46-26)",370
110,성동구,2023,"(한진해모로~한신무학 @ 사이 도로)
하왕십리동 1050-2 ~ 왕십리로31길 16",80
111,성동구,2023,"동호초교 앞
(매봉길 49-35 ~ 매봉길 50)",250
112,성동구,2023,"옥정초교 앞
(한림말3길 14 ~ 독서당로 222)",200
113,성동구,2023,"옥정초교 앞 도로
(독서당로 218 ~ 한림말길 41-5)",130
114,성동구,2024,금호로 176-1 ~ 금호로16길 6,61
115,성동구,2024,"동산초 통학로
(매봉18길 109 ~금호동2가 1-4)",210
116,성동구,2024,금호산8길 13 ~ 무수막길 59,70
117,성동구,2024,"무수막18길 1 ~ 금호로 141-1
(금호동2가 1212 ~ 1212)",50
118,성동구,2024,독서당로63길 63 ~ 독서당로57가길 24,100
119,성동구,2024,마조로42 ~ 사근동길 43,460
120,성동구,2024,행당로 75,40
121,성동구,2024,행당동 344,350
122,성동구,2024,왕십리로31길 20,50
123,성동구,2024,난계로 100,330
124,성동구,2024,동호로 99 ~ 매봉길 16,295
125,광진구,2022,구의동 34-8 ~ 81-3,278
126,광진구,2022,구의동 23-26 ~ 23-30,76
127,광진구,2022,중곡동 176-1,76
128,광진구,2022,중곡3동 194-19 ~ 608-6,160
129,광진구,2022,아차산로78길 90,140
130,광진구,2022,아차산로78가길 17,140
131,광진구,2023,중곡동 176-144 ~ 176-42,229
132,광진구,2023,중곡동 297-6 ~ 176-110,348
133,광진구,2023,중곡동 289-2 ~ 287-2,187
134,광진구,2023,중곡동 289-10 ~ 294-1,237
135,광진구,2023,중곡동 21-11 ~ 271-1,260
136,광진구,2023,구의동 143-1 ~ 21-32,170
137,광진구,2023,구의동 556-6 ~ 549-3,210
138,광진구,2023,구의동 558-11 ~ 551-2,220
139,광진구,2023,구의동 22-34 ~ 22-27,50
140,광진구,2023,구의동 549-3 ~ 중곡동 104-11,70
141,광진구,2024,중곡동 70-12 ~ 69-5,67
142,광진구,2024,중곡동 168-1 ~ 169-11,60
143,광진구,2024,중곡동 605-1 ~ 599-2,170
144,광진구,2024,중곡동 36-2 ~ 35-2,30
145,광진구,2024,구의동 43-11 ~ 36-20,90
146,광진구,2024,구의동 77-47 ~ 614-3,60
147,광진구,2024,자양동 609-17 ~ 609-16,30
148,광진구,2024,자양동 659-20 ~ 659-32,40
149,광진구,2024,자양동 610 ~ 611-5,25
150,광진구,2024,능동 320-56 ~ 320-58,50
151,광진구,2024,광장동 121 ~ 148-4,150
152,광진구,2024,광장동 244-24 ~ 241-1,40
153,광진구,2024,구의동 57-30 ~ 57-120,55
154,광진구,2024,중곡동 71 ~ 72-10,50
155,광진구,2024,화양동 132-34 ~ 132-63,30
156,광진구,2024,구의동 662 ~ 23-29,30
157,광진구,2024,중곡동 150-323 ~ 150-300,60
158,광진구,2024,구의동 254-36 ~ 254-44,70
